Effective From:Â June 01,2020	Product Name	Rs./litreE10 Gasoline	72.03Altron Premium	74.52Action + Diesel	80.15LDO	38.14SKO	35.56JP-1	24.85	
HOBC	137.73
Altron Premium	110.03
Altron Plus Diesel	116.75
LDO	0
SKO	0
JP-1	0
	
Effective From:Â February 01,2014	
Product Name	Rs./litre
E10 Gasoline	110.26
HOBC	137.73
Altron Premium	112.76
Altron Plus Diesel	116.75
LDO	0
SKO	0
JP-1	0
	
Effective From:Â January 01,2014	
Product Name	Rs./litre
E10 Gasoline	110.26
HOBC	137.73
Altron Premium	112.76
Altron Plus Diesel	116.75
LDO	0
SKO	0
JP-1	0
	
Effective From:Â December 01,2013	
Product Name	Rs./litre
E10 Gasoline	110.26
HOBC	137.73
Altron Premium	112.76
Altron Plus Diesel	116.75
LDO	0
SKO	0
JP-1	0
	
Effective From:Â November 01,2013	
Product Name	Rs./litre
E10 Gasoline	110.26
HOBC	137.73
Altron Premium	112.76
Altron Plus Diesel	116.75
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 01,2013	
Product Name	Rs./litre
E10 Gasoline	110.74
HOBC	140.47
Altron Premium	113.24
Altron Plus Diesel	116.95
LDO	0
SKO	0
JP-1	0
	
Effective From:Â September 01,2013	
Product Name	Rs./litre
E10 Gasoline	106.63
HOBC	134.95
Altron Premium	109.13
Altron Plus Diesel	112.26
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 01,2013	
Product Name	Rs./litre
E10 Gasoline	102
HOBC	129.16
Altron Premium	104.5
Altron Plus Diesel	109.76
LDO	0
SKO	0
JP-1	0
	
Effective From:Â July 09,2013	
Product Name	Rs./litre
E10 Gasoline	99.27
HOBC	123.46
Altron Premium	101.77
Altron Plus Diesel	106.76
LDO	0
SKO	0
JP-1	72.56
	
Effective From:Â June 21,2013	
Product Name	Rs./litre
E10 Gasoline	97.27
HOBC	121.13
Altron Premium	99.77
Altron Plus Diesel	104.6
LDO	0
SKO	0
JP-1	0
	
Effective From:Â June 13,2013	
Product Name	Rs./litre
E10 Gasoline	98.13
HOBC	122.17
Altron Premium	100.63
Altron Plus Diesel	105.5
LDO	0
SKO	0
JP-1	0
	
Effective From:Â June 01,2013	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	121.13
Altron Premium	99.77
Altron Plus Diesel	104.6
LDO	0
SKO	0
JP-1	0
	
Effective From:Â May 01,2013	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	120.25
Altron Premium	97.59
Altron Plus Diesel	106.06
LDO	0
SKO	0
JP-1	0
	
Effective From:Â April 01,2013	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	128.68
Altron Premium	102.3
Altron Plus Diesel	108.59
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 04,2013	
Product Name	Rs./litre
E10 Gasoline	100.57
HOBC	136.71
Altron Premium	103.07
Altron Plus Diesel	109.21
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 01,2013	
Product Name	Rs./litre
E10 Gasoline	104.1
HOBC	0
Altron Premium	106.6
Altron Plus Diesel	113.56
LDO	0
SKO	0
JP-1	0
	
Effective From:Â January 22,2013	
Product Name	Rs./litre
E10 Gasoline	100.57
HOBC	130.6
Altron Premium	103.07
Altron Plus Diesel	109.21
LDO	0
SKO	0
JP-1	0
	
Effective From:Â December 22,2012	
Product Name	Rs./litre
E10 Gasoline	98.92
HOBC	127.46
Altron Premium	101.42
Altron Plus Diesel	110.13
LDO	0
SKO	0
JP-1	0
	
Effective From:Â November 22,2012	
Product Name	Rs./litre
E10 Gasoline	100.15
HOBC	126.88
Altron Premium	102.65
Altron Plus Diesel	109.77
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 22,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	128.03
Altron Premium	101.08
Altron Plus Diesel	113.29
LDO	0
SKO	0
JP-1	79.71
	
Effective From:Â October 22,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	0
Altron Premium	101.42
Altron Plus Diesel	110.13
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 15,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	128.03
Altron Premium	103.4
Altron Plus Diesel	113.62
LDO	0
SKO	0
JP-1	80.24
	
Effective From:Â October 08,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	128.03
Altron Premium	105.49
Altron Plus Diesel	110.46
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 01,2012	
Product Name	Rs./litre
E10 Gasoline	99.95
HOBC	0
Altron Premium	102.45
Altron Plus Diesel	113.16
LDO	0
SKO	0
JP-1	0
	
Effective From:Â September 24,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	131.9
Altron Premium	108.45
Altron Plus Diesel	113.3
LDO	0
SKO	0
JP-1	0
	
Effective From:Â September 17,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	137.96
Altron Premium	106.72
Altron Plus Diesel	113.77
LDO	99.27
SKO	0
JP-1	0
	
Effective From:Â September 10,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	136.46
Altron Premium	99.9
Altron Plus Diesel	115.52
LDO	0
SKO	104
JP-1	0
	
Effective From:Â September 01,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	133.19
Altron Premium	104.55
Altron Plus Diesel	112.13
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 23,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	125.01
Altron Premium	96.78
Altron Plus Diesel	106.19
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 16,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	0
Altron Premium	93.57
Altron Plus Diesel	101.79
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 01,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	120.16
Altron Premium	93.57
Altron Plus Diesel	101.79
LDO	0
SKO	0
JP-1	71
	
Effective From:Â July 16,2012	
Product Name	Rs./litre
E10 Gasoline	83.4
HOBC	112.52
Altron Premium	85.9
Altron Plus Diesel	97.21
LDO	0
SKO	0
JP-1	67.17
	
Effective From:Â July 01,2012	
Product Name	Rs./litre
E10 Gasoline	81.99
HOBC	106.88
Altron Premium	84.99
Altron Plus Diesel	97.21
LDO	0
SKO	0
JP-1	65.47
	
Effective From:Â June 16,2012	
Product Name	Rs./litre
E10 Gasoline	87.01
HOBC	113.32
Altron Premium	89.51
Altron Plus Diesel	99.69
LDO	0
SKO	0
JP-1	0
	
Effective From:Â June 01,2012	
Product Name	Rs./litre
E10 Gasoline	97.47
HOBC	125.07
Altron Premium	99.97
Altron Plus Diesel	105.77
LDO	0
SKO	0
JP-1	75.11
	
Effective From:Â May 01,2012	
Product Name	Rs./litre
E10 Gasoline	100.86
HOBC	135.81
Altron Premium	103.36
Altron Plus Diesel	107
LDO	0
SKO	0
JP-1	0
	
Effective From:Â April 04,2012	
Product Name	Rs./litre
E10 Gasoline	0
